id,title,author,published_date,categories,summary,page_count
20797033,Found,Margaret Haddix,2008-04,"{""/m/06n90"": ""Science Fiction"", ""/m/03mfnf"": ""Young adult literature""}","In the beginning of the story Jonah and his friend Chip Winston, who also learns that he is adopted, receive letters from an unknown person. The letters say “You are one of the missing” and “Beware! They are coming to get you”. At first they take it as some kind of joke but soon to wonder more and more about who are their birth parents and why they got these letters. They decide that the best way to figure out is to go into Chip’s parent's safe. There they find a phone number to an FBI agent named James Reardon. Soon Jonah asks his parents if they can call the adoption agency and ask who his birth parents really are. They only tell his dad to contact the FBI to talk to James Reardon. Jonah, his parents, and his sister Katherine meet James Reardon. Right before the meet, a janitor gives Jonah a bottle of Mountain Dew. When they finally meet with James Reardon, he tells them Jonah was illegally adopted from a foreign country and might be deported. He refuses to tell them the country's name, though. When Jonah goes to the bathroom to throw up thanks to the Mountain Dew, another, younger janitor appears out of nowhere in the bathroom and tells him a file would appear on the desk by the time he got back. He tells Jonah to memorize as many names as possible. Back in the room, he distracts the adults while Katherine takes pictures of the documents. It turns out to be the addresses and phone numbers of 36 teenagers, including Chip and Jonah. It also includes the names of several adults, including a woman named Angela DuPre. Chip and Katherine begin calling the numbers. The adults all hung up. Most of the kids turn out to live in the vicinity of Chip and Jonah. After a while they receive a letter from Angela DuPre, telling them to meet her at the library to talk about the things that are happening and get more information. At the library, Angela DuPre tells them that time travelers exist and that she had been researching. She tells them that she used to work at an airport, until an airplane, full of babies, appeared out of nowhere. After the babies were removed, the plane disappeared. She speculates that the babies on the plane were originally adults who were turned into babies by time traveling. Then a man breaks into the room and is promptly tackled by the ""janitor"" from the FBI who talked to Jonah in the bathroom. Chip, Jonah, and Katherine escape through a window, but Angela stays behind for more information. Later, when they're leaving the library, they see Angela, who disappears into thin air. When they get home, they find out the lists of names was deleted from Chip's computer. Shortly afterwards, Jonah's mom receives a flyer in the mail advertising an adoption conference for teen adoptees and their parents. Jonah persuades his parents to let him bring Katherine along, too. At the conference, all the adoptees are divided into two groups, with Jonah, Chip, and all the kids on the list in one group, and everyone else in another. Katherine pretends to be a girl named Daniella McCarthy to get into Jonah's group. The kids are led to a cave in the woods by two men name Gary and Mr. Hodge. Then the cave is transported to a place called a time hollow. The ""janitor"" from the FBI, whom Jonah, Chip, and Katherine have nicknamed JB, appears and attacks Gary and Mr. Hodge. Soon Angela arrives too. They find out that Gary and Hodge work for an organization called Interchronological Rescue, an organization dedicated to rescuing children from history, such as toddlers trapped in burning houses and people left for dead during the Bubonic Plague; taking them to the distant future; turning them into babies; and putting them up for adoption. The organization got greedy, however, and they started taking famous babies whose disappearances were noticed. Finally, when they were flying to the future with a load of babies, JB chased after the plane and caused it to crash in the twenty-first century. Gary and Hodge want to turn all the kids into babies and take them to the future, and JB wants to send them all back to die. Finally, JB sends Chip and another boy named Alex back to the fifteenth century , but Jonah and Katherine grab Chip's arms right before he disappears and find themselves falling backwards through time. On the way, Jonah manages to convince JB to let him and Katherine help Chip and Alex repair time so everyone can go home to the twenty-first century.",0
20797038,Compelling Evidence,UNK,UNK,UNK,"Ben Potter is found dead; his wife, Talia, is indicted and arrested. She turns to brilliant criminal defense lawyer, Paul Madriani, her former lover, to defend her.",0
20797941,The People of Kau,UNK,1976,['Nuba (African people)'],"This is a photographic monograph on the life of the people of Kau. Leni Riefenstahl spent 16 weeks with the Nuba of Kau in 1975. These people, known as the ""South East Nuba"", live only 100 miles away from the Mesakin Nuba. Yet, they speak another language, follow different customs, and are very different in character and temperament. The knife-fights, dances of love and elaborately painted faces and bodies are photographed in the book.",174
20798854,Handles,Jan Mark,1983-10-26,"{""/m/026llv5"": ""Literary realism"", ""/m/0dwly"": ""Children's literature""}","Erica Timperley, a city girl who loves motorcycles, is bored with her holiday in Norfolk where her Uncle and Aunt grow acres of vegetables. Then she sees a cat with false teeth and discovers Mercury Motor Cycles, an unusual motorcycle repair shop down an alley. There she meets the enigmatic young man ""Elsie"" Wainwright, who allows her the honour of helping out in the workshop. Apart from beginning to learn the trade, Erica learns a whole new arcane vocabulary and meets an array of curious characters including Bunny and Bill Birdcycle. Eventually she gets a ""handle"" of her own, and by the end of the summer is determined to become a mechanic.",0
20805713,Le Chercheur d'or,Jean-Marie Gustave Le Clézio,1985,"{""/m/05hgj"": ""Novel""}",Alexis L'Estang becomes obsessed with finding the treasure of the legendary Unknown Corsair on the island of Mauritius. The child recalls the sea around the island of Rodrigues in the Indian Ocean. The author situated the plot of this book in the village of Anse aux Anglais.,0
20805812,Étoile errante,Jean-Marie Gustave Le Clézio,1992,"{""/m/05hgj"": ""Novel""}","In the year 1944 in a mountainous area on the French-Italian border Esther and her mother and all the Jews in the village of Saint-Martin must cross from France to Italy to avoid the SS. After the war, she and her mother, Elizabeth, begin their long journey to France, to the sailing ship Sette Fratelli which will take them to Palestine. When Esther finally arrives in Jerusalem, she briefly meets and exchanges names with Nejma, a Palestinian, another wanderer, one who ends up, in the summer of 1948, in the Nour Chams Refugee Camp.",0
20806051,Ourania,Jean-Marie Gustave Le Clézio,2006,"{""/m/05hgj"": ""Novel""}","Le Clézio lived for fifteen years in a small village in Mexico called Valle de Bravo. Children invented an imaginary country and ideal, Ourania, and this book describes a near-Utopian society in Mexico. Two types of Utopias are compared to each other: a modest Utopia from the Jesuits and the other an ideal city called Santa Fe de la Laguna. The book mentions the transhumant movement Rainbows (1970–1980) and the Salvadoran revolution and its leader, Monsignor Romero. Failure was inevitable. Dreams are necessessary, even if reality isn't.",0
20806268,Ritournelle de la faim,Jean-Marie Gustave Le Clézio,2008-10-01,"{""/m/05hgj"": ""Novel""}","Set in Paris in the 1930s, it tells the story of Ethel, a young woman who must save herself and her parents, torn by the age's politics and their hatred for each other.The story seems so simple. A narrator who is and is not the author tells the story of a young girl – Ethel Brown – who is and is not the mother of JMG Le Clézio. French language text sample from ""Ritournelle de la faim"" can be read online",0
20808837,Vanishing Africa,Mirella Ricciardi,1974,"['Africa, Eastern']",The pictures are evidence of Riefenstahl's passion for Africa and an attempt to capture the region's soul before it lost its innocence to the technical age.,300
20814896,The Gray Cloth,UNK,UNK,"{""/m/06n90"": ""Science Fiction""}","The novel is set in the middle of the twentieth century, and opens in Chicago, where the protagonist Edgar Krug has designed an enormous colored-glass exhibition hall. An art exhibit is held there, accompanied by an organ concert. Krug, fiercely dedicated to his esthetic concepts, is unhappy that the bright colors of women's fashions clash with his architectural scheme. When he meets Clara Weber, the organist, he is struck by her gray dress with white lace trim; he finds it the perfect compliment to the color effect of his hall. Krug impulsively asks Clara to marry him &mdash; providing she agrees to wear the same style of clothing. Clara accepts Krug's terms, which are specified in their marriage contract. Once married, the couple leave for the Fiji Islands in Krug's private dirigible (it has a glass-walled cupola, and air conditioning). Though Clara accepts Krug's strange terms for their marriage, other women do not. Clara maintains a telegraphic correspondence with her American friend, Amanda Schmidt; and Amanda is highly critical of Clara's subservience in the arrangement. Later in the book, other women also protest its terms. Scheerbart provides portrayals of a number of strong female characters through the book, supporting its subtitle, ""a Ladies' novel."" Krug goes to Fiji because he has an ongoing project there, a retirement home for airship pilots. He clashes with the project's sponsor over how much colored glass the building will accommodate. From Fiji, Krug and Clara travel to other sites throughout the world, to visit other projects. Their first stop is ""Makartland"" at the South Pole, an artists' colony for twenty women artists. There, a seamstress makes outfits for Clara that arrange her gray-and-white wardrobe scheme in imaginative ways. Käte Bandel, one of the artists, joins the Krugs in their further travels; she debates artistic assumptions and values with Krug as they travel to Australia and then to Borneo. Bandel enrages Krug when she convinces Clara to wear a plaid scarf. Leaving Bandel behind, they fly to Japan; but Japanese women also react negatively to the gray and white. In the Himalayas and in Ceylon, Krug visits another projects; later the couple travel to an experimental station by the Aral Sea. They also visit Babylon and Egypt. Despite his enthusiasm for colored glass, Krug turns down an offer to build large glass obelisks atop the Pyramids of Giza. In the ""Kurian Murian Islands"" off the eastern coat of Arabia, Krug meets the tycoon Li-Tung, who commissions him to design houses suspended in mid-air (so that they don't scratch the majolica tiles with which the islands are paved). Li-Tung is passionate about color, and has Clara change into more varied silk outfits. Krug allows this. Their journey is not a parade of triumphs, however; in most places, Krug's ideas are resisted, criticized, and rejected to greater or lesser degrees. At Malta, though, a glass architecture museum in established. The Krugs end the novel at their glass house in Switzerland. At Babylon, Krug gives up on his determination about Clara's wardrobe, and agrees to strike the binding clause out of their marriage contract. By this time, though, Clara has become a convert to her husband's ideas about glass architecture, and maintains the gray fashion by her own choice.",0
