id,title,author,published_date,categories,summary,page_count
27592792,"Destiny, or The Attraction of Affinities",John David Morley,1996,"{""/m/02xlf"": ""Fiction""}","Following in his father Magnus's footsteps, Jason Gould travels to Germany in 1961 but, unlike Magnus, Jason never returns to England, remaining to witness the construction of the Berlin Wall and the division of the country, meanwhile falling in love with the daughter of a woman whom his own father had once hoped to marry. Conceived alongside the unification of Germany in 1990, the novel confronts haunting questions about the collective guilt of the Holocaust, the oppressive ideological constraints of life in the GDR and the radical terrorism of the Red Army Faction. The narrative explicitly evokes Kleist’s Michael Kohlhaas and Caspar David Friedrich’s Chalk Cliffs on Rügen, while tracing the evolution of a cultural identity inescapably overshadowed by a political history of perennial trauma.",0
27593160,Jonah Hex: No Way Back,Jimmy Palmiotti,2011,['Comics & Graphic Novels'],"After collecting a bounty, Jonah Hex takes up in a saloon for the night while acquiring the services of prostitutes. Two lawmen arrive at the saloon and give a prostitute a wanted poster to deliver to Hex showing that his mother, Virginia ""Ginny"" Dazzleby, is wanted for murder. In a flashback, it revealed that Hex has not seen his mother since childhood when she ran off and left Hex with his abusive father. Two days later, Hex's horse is shot out from under him by two bandits and he briefly lies on the ground playing dead before shooting both bandits. Against Hex's initial wishes, the bandits' dog, which Hex calls Dag, decides to accompany Hex. Hex arrives at saloon to inquire about his mother and shoots a man who pesters him about his gunsmanship. The bartender directs Hex to the tent town located behind the town proper, where Hex encounters three men stealing diseased blankets to trade to Indians who settled on land they purchased. When the men try to rob Hex, he shoots one in the arm and dodges gunfire from the other two so that they shoot each other. A small boy who overheard Hex questioning the men about his mother steps forward saying she was kidnapped by a group of Mexicans heading south. While on their trail in Arizona, Hex comes across a Navajo village razed by the Mexicans so they could pass off the Navajo scalps as Apache and sell them. Hex catches up with the Mexicans in a saloon and kills them all. He finds his mother upstairs dying of tuberculosis. Hex's mother mistakes him for the devil come to claim her soul. Before dying, Hex's mother reveals that the Mexicans that captured her were working for El Papagayo and that she had another son by Dazzleby named Joshua. A woman at the bar named Edna reveals that Hex's mother was taken as bait for Hex. Hex travels to Heaven's Gate, Colorado to deliver his mother's corpse to his half-brother and is informed upon arrival that Joshua is both the preacher and sheriff of the town and that the town has no saloon or whorehouse. Hex initially wants to leave right after delivering the body, but Joshua convinces him to stay for the funeral and to give up his guns while in town. Meanwhile, El Papagayo shows up at the saloon where Hex killed his men. He ties up and severely beats the bartender, his daughter and Edna and shoots Edna after she bites his hand. He then reveals that Hex's father destroyed his village when he was a child and he swore revenge on Hex's family. Back in Heaven's Gate, Joshua tries to make peace with the differences between him and his half-brother, but Hex makes good on his promise to ride out after the funeral. However, shortly after leaving town, Hex spies El Papagayo with around fifty men riding towards the town. Hex returns to town and suggests that they run, but the townspeople decide to say and fight. The next day El Papagayo men ride into town and find Hex's dog. El Papagayo orders one of his men to shoot it to prove his aim. They find the town otherwise deserted. The men arrive at the hot spring outside Heaven's Gate and find the women of the town bathing in it. One of them claims that the town is populated only by women. When El Papagayo's men jump into the water, the townsmen spring out of the water armed with various weapons. The townsmen win the initial skirmish, but Papagayo is not among the dead. Papagayo mows down some men with a Gatling gun and promises to spare the town if they turn Hex over. The townsmen over power Hex and attempt to hand him over, but when Papagayo hears Joshua refer to Hex as his brother, he shoots him, only hitting his arm. Hex breaks free, and Papagayo shoots him in the shoulder before Hex knocks the gun out of his hand. Papagayo reveals a knife hidden in his pants leg and stabs Hex through the arm. The fight continues until Hex pinned Papagayo and slits his throat with the knife still in his arm. Seeing their leader dead, El Papgayo's men retreat. The story cuts to months later when Hex leaves Heaven's Gate after staying with his brother to heal. On his way out, Hex stops by his mother's grave, with Dag buried next to her, and tells her he doesn't blame her for leaving.",138
27594746,Journey to the End of the Whale,John David Morley,2005,"{""/m/04z2hx"": ""Travel literature"", ""/m/02xlf"": ""Fiction"", ""/m/08sdrw"": ""Adventure novel""}","Swiss orphan, insurance agent and amateur marine biologist Daniel Serraz free-floats with life’s currents until a traumatic midlife episode sends him on a journey of discovery to the remote east Indonesian island of Lefó. There, he will uncover the secret of his origins, but not before risking everything hunting with the islanders, the last torchbearers of an ancient tradition by which whales are bested by men in teak boats, harpooned by hand on the open sea.",0
27595223,Passage,John David Morley,2007,"{""/m/0g_jj"": ""Picaresque novel"", ""/m/02xlf"": ""Fiction"", ""/m/0hwxm"": ""Historical novel""}","Abducted by conquistadors in the year 1500, the merchant’s ward Pablito (alias White Water Bird, alias Paul Zarraté, alias Paul Straight, alias “the World’s Greatest Living Wonder”) passes through five books and five ages of man, as he travels from the primordial forests of the Amazon to the Incan empire of Tahuantin-Suyu, to the slave-plantations of colonial Pernambuco, via antebellum New Orleans, to the 1893 Chicago World’s Fair, before witnessing the birth of Hollywood and the explosion of an atomic bomb.",0
27595653,The Book of Opposites,John David Morley,2007,"{""/m/02n4kr"": ""Mystery"", ""/m/02xlf"": ""Fiction""}","Beginning with a Mercedes 600 plunging off the Glienicker Bridge between the former borders of East and West, The Book of Opposites is a tale of love, death, precognition, paradox, yoga and quantum mechanics.",0
27595775,Chelsea Chelsea Bang Bang,Chelsea Handler,2010-03,"{""/m/01ng1k"": ""Creative nonfiction""}","The book consists of humorous essays written by Chelsea about her various life experiences. The essays are often blatantly vulgar, much like the ones in Handler's previous two published books. The vulgarity of the stories have in some cases become a point of controversy among parts of the public, however, her fans argue that her straight-forwardness and brutal honesty contribute to the book's appeal.",0
27599410,East of the Mountains,David Guterson,1999,UNK,"Dr. Ben Givens is a 73 year old retired Cardiothoracic surgeon and a widower, recently diagnosed with terminal colon cancer. Still haunted by his experiences as a soldier in the war, and in mourning for Rachel, his late wife of some 50 years, Dr. Givens's current life consists primarily of his family (a daughter and grandson), and occasional hunting trips. Although he hunted as a boy with his father and brother, he abandoned it after the war, only taking it up again upon Rachel's death (he still uses his Father's old Winchester rifle). Aware that he is nearing the end of his life, he decides to set off from his home in Seattle for one last hunting trip, along with his two Brittany hunting dogs, Tristan and Rex, heading east across the mountains of Washington State back towards the orchard areas where he was born. His family does not, however, know of his cancer, and his intention during the trip is to commit suicide, shooting himself with his Father's gun, staging it to look like an unfortunate accident which occurred whilst he was climbing over a fence; thus saving both himself and his family from the pain of a long, drawn-out death from cancer. En route, however, Dr. Givens accidentally crashes his car, and although his only real injury is a swollen black eye, he is left without his planned mode of transportation. Deciding to continue with his trip, he is forced to make his way east by alternative means. Through a combination of hitchhiking, a long walk through the desert, a lift bought from a lorry driver, a Greyhound bus, and a rental car, he finally approaches his destination; but will the combined effect of the people he has met, the experiences he has undergone, the gains he has made, and the losses he has sustained during this journey be enough to make him reject his climactic plan?",0
27599741,Richard: A Novel,Ben Myers,UNK,UNK,"Richard comprises two narratives. One is from Richey's first-person point-of-view, beginning with his departure from his London Hotel on 1 February 1995, and covering his thoughts, movements and encounters from this point onwards. The second narrative strand is a second-person point-of-view, running through Richey's childhood, school, university, career with the Manic Street Preachers, and physical/emotional breakdown. This second narrative strand eventually reaches the point at which the first narrative strand began, converging both narratives.",0
27601102,Boneshaker,Cherie Priest,2009,"{""/m/0mz2"": ""Alternate history"", ""/m/06n90"": ""Science Fiction""}","Early in the American Civil War, rumors of gold in the Klondike have brought would-be prospectors to North America's Pacific Northwest. Anxious Russian investors commission American inventor Leviticus Blue to create a machine which can mine through the ice of Russian-owned Alaska. Blue's ""Incredible Bone-Shaking Drill Engine"" (or ""Boneshaker"" for short, named after boneshaker bicycles of the era), instead destroys several blocks of downtown Seattle and releases a subterranean vein of ""blight gas"" that kills anyone who breaths it and turns some of the corpses into rotters (non-supernatural zombies). A wall is erected to contain the gas within the affected part of the city. Leviticus Blue is nowhere to be found. Sixteen years later, Leviticus's wife and son, Briar and Zeke (Ezekiel) Wilkes, live in the impoverished outskirts of the former metropolis. Life is difficult, but Briar manages to support herself and Zeke by working a physically demanding blue collar job. However, one day, Zeke enters the toxic city in search of evidence proving his father is innocent of the intentional destruction. Briar intends on following, but the drainage hole collapses in an earthquake. She then hitches a ride over the wall by a captain of an airship, the unnaturally tall Captain Cly. Meanwhile Zeke meets Rudy, a man who claims to be a highly decorated lieutenant. Rudy tells Zeke that he can lead him to his parent's former house. The pair of them encounter an Native American woman who lightly wounds Rudy, but they manage to elude her. Briar is attacked by rotters, which causes her to flee to the roof of a building, where she is rescued by Jeremiah Swakhammer and his Doozy Dazer. He takes her to a bar named in honor of her deceased father to meet people including the barkeeper, Lucy O'Gunning. Once again, rotters attack the bar, forcing the occupants to retreat. It is later revealed that a man named Minnericht caused the rotter attack. Lucy takes Briar to see Minnericht, believed by some to be Leviticus Blue. Briar, however, doubts this. Unbeknownst to her, Minnericht has taken Zeke hostage. A battle breaks out between Minnericht's men and Swakhammer, Lucy, and the Indian princess. This battle attracts the rotters, complicating Briar's efforts to reunite with her son and exit the dangerous area of Seattle. Swakhammer is found unconscious and in critical condition by Briar. She tries to make Minnericht help him, leading to a heated argument in which Briar renounces that he is Leviticus, and mocks him. Unbeknownst to Minnericht, the Indian Princess is behind him, and while Briar distracts him she comes, slits his throat, and kills him. Everyone reunites and escapes to the surface. Eventually Briar leads Zeke to her and Leviticus' old home and tells Zeke that she killed Leviticus Blue years ago, as he tried to escape Seattle with his Boneshaker. Briar shows her son Blue's mummified body, still inside Boneshaker. Zeke claims he doesn't hold any grudge against his mother for killing her husband, and they embrace, before leaving to loot what is left of the former Blue residence.",0
27603139,Barn Burner,Patricia Willis,2000,['Juvenile Fiction'],"In 1933 while running from a bad situation at home and suspected of having set fire to a barn, 14-year-old Ross finds haven with a destitute but loving family which helps him make an important decision. After a family disagreement, Ross Cooper leaves home with only a knapsack and the clothes on his back. He hopes to find work, but job prospects in the 1930s are dim, especially for someone as young and inexperienced as Ross. His troubles worsen after he is spotted fleeing a burning barn in a Ohio town where a number of barns have gone up in flames. Though a kind but destitute family takes Ross in, he yearns to hit the road again, especially when another barn is set afire and he falls under suspicion. But stronger than his wish to leave is his hope to discover the true identity of the barn burner and clear his name. This moving and fast-paced story captures the spirit of determination and hope boys like Ross needed to survive during the Great Depression.",0
27608409,I Am Not a Serial Killer,Dan Wells,UNK,UNK,"The book follows 15-year-old John Wayne Cleaver, a diagnosed sociopath who lives above a morgue owned by his mother. He fears that he is ""fated"" to become a serial killer due to being plagued by constant homicidal urges, and so lives by a set of rules designed to keep his violent impulses in check. His careful regime of self-denial is threatened when he becomes ensnared in a serial killer case in which he senses a connection with the killer.`",0
